dataset,pred_len,variant,C,K,shared_adaptive_jaccard,batch_size,new_trainable_params,checkpoint_fidelity_abs_diff,base_val_full_mse,base_test_full_mse,base_test_full_mae,base_test_endpoint_mse,base_test_endpoint_mae,best_val_full_mse,best_epoch,test_full_mse,test_full_mae,test_endpoint_mse,test_endpoint_mae,full_mse_gain_vs_base_%,endpoint_mse_gain_vs_base_%,val_improves_base,elapsed_sec
Weather,336,HorizonAdaptiveSparse,21,10,0.7814407814407813,32,1750352,5.551115123125783e-17,0.5963546700629323,0.281852746452689,0.3008946211442532,0.3820647581028417,0.3683641229857672,0.5895821551207129,1,0.2765884671453787,0.2977804838005117,0.3801874331961165,0.3663859344608448,1.8677410007760624,0.4913630129214448,1,31.472686052322388
Weather,720,DenseFineTune,21,10,0.6342546342546344,32,1947344,5.551115123125783e-17,0.7119771376833319,0.3595000652217012,0.3524388762048337,0.4580672784617625,0.4165127482625496,0.7119756669628321,0,0.3594998080292914,0.3524387798727681,0.4580681660903835,0.4165132517690734,7.154168655162897e-05,-0.0001937769106821,1,21.97576475143433
Weather,720,SharedSparse,21,10,0.6342546342546344,32,1947344,5.551115123125783e-17,0.7119771376833319,0.3595000652217012,0.3524388762048337,0.4580672784617625,0.4165127482625496,0.7159490827046631,2,0.3577858020494345,0.3507177383902005,0.4619904888973813,0.4184511071781664,0.4768464148148402,-0.8564703527380033,0,37.41947746276856
Weather,720,HorizonAdaptiveSparse,21,10,0.6342546342546344,32,1947344,5.551115123125783e-17,0.7119771376833319,0.3595000652217012,0.3524388762048337,0.4580672784617625,0.4165127482625496,0.7139969422731699,0,0.3600125585709481,0.3524454966010469,0.4581804647196025,0.4162212112896342,-0.142557234010738,-0.0247095269978911,0,23.131807804107662
Solar,96,DenseFineTune,137,10,0.6071210526985539,16,1627232,2.775557561562892e-17,0.1532274207439788,0.2033788478392465,0.2371999425572584,0.2242019511346978,0.2538644814092011,0.1532277053287454,0,0.2033795570276931,0.2371980531510508,0.2242085856433316,0.2538714213942758,-0.0003487031489112,-0.0029591663231304,0,47.12282919883728
Solar,96,SharedSparse,137,10,0.6071210526985539,16,1627232,2.775557561562892e-17,0.1532274207439788,0.2033788478392465,0.2371999425572584,0.2242019511346978,0.2538644814092011,0.1557940280392436,6,0.2111838800659833,0.2307575312061529,0.2221932980460907,0.2502134092045737,-3.8376814057408586,0.8959124032780243,0,125.3652970790863
Solar,96,HorizonAdaptiveSparse,137,10,0.6071210526985539,16,1627232,2.775557561562892e-17,0.1532274207439788,0.2033788478392465,0.2371999425572584,0.2242019511346978,0.2538644814092011,0.1553130949008562,3,0.2064809894738029,0.2345321311292086,0.2334697890427931,0.26628447332695,-1.525302000436314,-4.133700826951019,0,95.06734824180604
Solar,192,DenseFineTune,137,10,0.657922024066292,16,1676480,2.775557561562892e-17,0.1751746177817647,0.2409536051351255,0.2656884152854869,0.2886798604374744,0.3080526459257935,0.1719963990207769,3,0.2385915046845371,0.2603130481561295,0.2825865581706346,0.294392500046411,0.9803133882407464,2.1107472677885326,1,90.32412123680116
Solar,192,SharedSparse,137,10,0.657922024066292,16,1676480,2.775557561562892e-17,0.1751746177817647,0.2409536051351255,0.2656884152854869,0.2886798604374744,0.3080526459257935,0.1721026171218181,3,0.2358695504408703,0.2605250682127225,0.2806656929131049,0.2935384916536547,2.109972453578409,2.7761436188255706,1,94.22669339179993
Solar,192,HorizonAdaptiveSparse,137,10,0.657922024066292,16,1676480,2.775557561562892e-17,0.1751746177817647,0.2409536051351255,0.2656884152854869,0.2886798604374744,0.3080526459257935,0.1709779132797544,3,0.2355662396974284,0.2605597438677107,0.2791227953561229,0.2930271482416426,2.2358517668477824,3.310610261092819,1,94.29252791404724
Solar,336,DenseFineTune,137,10,0.6527413357597986,16,1750352,5.551115123125783e-17,0.176406456474878,0.2542946640191224,0.2766724112413872,0.2878347160962058,0.3028085737386077,0.1764096811769218,0,0.2542958651259025,0.2766720594961918,0.2878378689035626,0.3028078204266722,-0.0004723287390728,-0.0010953534026414,0,45.272451639175415
Solar,336,SharedSparse,137,10,0.6527413357597986,16,1750352,5.551115123125783e-17,0.176406456474878,0.2542946640191224,0.2766724112413872,0.2878347160962058,0.3028085737386077,0.1769264788736909,1,0.2528004657696642,0.2749806104621889,0.2881494106244503,0.3033169920347741,0.5875853727492363,-0.1093316791360458,0,61.69364380836487
Solar,336,HorizonAdaptiveSparse,137,10,0.6527413357597986,16,1750352,5.551115123125783e-17,0.176406456474878,0.2542946640191224,0.2766724112413872,0.2878347160962058,0.3028085737386077,0.1759518230814536,1,0.2518423500471348,0.2749457203368636,0.2878096191211328,0.3025031577064982,0.9643591938693516,0.0087192314441445,1,61.70911121368408
Solar,720,DenseFineTune,137,10,0.1221272387517218,16,1947344,5.551115123125783e-17,0.1766558382752122,0.2561432043917523,0.279605439670607,0.2661393686056483,0.2871915093978882,0.1766520512009672,0,0.2561395350426353,0.2796023053585758,0.2661346314801444,0.2871877650554114,0.0014325381482463,0.0017799416631521,1,48.12147498130798
Solar,720,SharedSparse,137,10,0.1221272387517218,16,1947344,5.551115123125783e-17,0.1766558382752122,0.2561432043917523,0.279605439670607,0.2661393686056483,0.2871915093978882,0.1774025635398919,1,0.2541897044856737,0.279613660065962,0.2521313796501499,0.2789801845127126,0.7626592751962866,5.26340354262082,0,65.25103211402893
Solar,720,HorizonAdaptiveSparse,137,10,0.1221272387517218,16,1947344,5.551115123125783e-17,0.1766558382752122,0.2561432043917523,0.279605439670607,0.2661393686056483,0.2871915093978882,0.1762784186319217,1,0.2538467821726386,0.2795650891922601,0.2526481185271333,0.278108603357713,0.8965384127862853,5.069242536043447,1,65.16463422775269
ETTh1,96,DenseFineTune,7,3,0.3571428571428571,32,1627232,0.0,0.6842308628525481,0.3944228254893687,0.4095026899955614,0.4755124661304242,0.448617911210394,0.6842311425383115,0,0.3944220727902758,0.4095024403134014,0.4755043268050863,0.4486114795466636,0.0001908355815609,0.0017116954691147,0,6.592246055603027
ETTh1,96,SharedSparse,7,3,0.3571428571428571,32,1627232,0.0,0.6842308628525481,0.3944228254893687,0.4095026899955614,0.4755124661304242,0.448617911210394,0.6868945155111533,0,0.3940996086881784,0.4097158079953685,0.4693826055734639,0.4461947250072697,0.0819467790154573,1.2891061735653828,0,6.869707822799683
ETTh1,96,HorizonAdaptiveSparse,7,3,0.3571428571428571,32,1627232,0.0,0.6842308628525481,0.3944228254893687,0.4095026899955614,0.4755124661304242,0.448617911210394,0.6849339232828369,0,0.394990916503661,0.4100024254961871,0.4768013595525776,0.4493474854784581,-0.1440309681843325,-0.2710535504236217,0,6.899083852767944
ETTh1,192,DenseFineTune,7,3,0.7857142857142857,32,1676480,0.0,0.9996512522850542,0.4338823782170939,0.4294491102832726,0.5129592456986343,0.4682889780063201,0.9916322459666892,1,0.4292209298249823,0.4270170841359917,0.5030747959845974,0.464769026269595,1.074357619976724,1.9269463991383164,1,8.564761400222778
ETTh1,192,SharedSparse,7,3,0.7857142857142857,32,1676480,0.0,0.9996512522850542,0.4338823782170939,0.4294491102832726,0.5129592456986343,0.4682889780063201,0.9964702788224968,4,0.4463772039179209,0.4410180059246298,0.5301153741518471,0.4860195534607875,-2.879772566973251,-3.344540252870711,1,14.898008346557615
ETTh1,192,HorizonAdaptiveSparse,7,3,0.7857142857142857,32,1676480,0.0,0.9996512522850542,0.4338823782170939,0.4294491102832726,0.5129592456986343,0.4682889780063201,0.9896582073309016,4,0.4453941224225933,0.4405011989043145,0.5265015578831077,0.4831518605292074,-2.6531946867267013,-2.6400366691956663,1,14.956984281539915
ETTh1,336,DenseFineTune,7,3,0.7428571428571429,32,1750352,0.0,1.293113370438349,0.4768634684235003,0.4519744347310694,0.5349288852637047,0.4885721053027919,1.2914037228771358,1,0.4728499033108762,0.4498891547463472,0.5257644705781768,0.4836578949428561,0.8416591704734446,1.7132024345647705,1,8.278109073638916
ETTh1,336,SharedSparse,7,3,0.7428571428571429,32,1750352,0.0,1.293113370438349,0.4768634684235003,0.4519744347310694,0.5349288852637047,0.4885721053027919,1.2941716128448555,0,0.4794960321854368,0.4533509991783734,0.5394205282352094,0.4927373211068649,-0.5520581751920913,-0.8396710469823226,0,6.6005189418792725
ETTh1,336,HorizonAdaptiveSparse,7,3,0.7428571428571429,32,1750352,0.0,1.293113370438349,0.4768634684235003,0.4519744347310694,0.5349288852637047,0.4885721053027919,1.2941954304476273,0,0.4796801558448772,0.4535076984156568,0.5384476542037891,0.4927200674977223,-0.5906695748132734,-0.6578012586382864,0,6.579271554946899
ETTh1,720,DenseFineTune,7,3,0.9285714285714286,32,1947344,0.0,1.5785020693429883,0.4858814224175132,0.4787615111902099,0.6137510829130419,0.5716276324543184,1.578501038573641,0,0.4858822372776235,0.4787620262162304,0.6137535567796497,0.571631464299691,-0.0001677076078104,-0.0004030732778582,1,5.986805438995361
ETTh1,720,SharedSparse,7,3,0.9285714285714286,32,1947344,0.0,1.5785020693429883,0.4858814224175132,0.4787615111902099,0.6137510829130419,0.5716276324543184,1.5776511480862494,0,0.484824379928756,0.4780394163759567,0.6120755474337458,0.5706683723942463,0.2175515341784158,0.2729991890757288,1,6.185874700546265
ETTh1,720,HorizonAdaptiveSparse,7,3,0.9285714285714286,32,1947344,0.0,1.5785020693429883,0.4858814224175132,0.4787615111902099,0.6137510829130419,0.5716276324543184,1.5776390485613014,0,0.4848850407407101,0.4781196890631541,0.6120887539978895,0.5706640137489406,0.2050668395275396,0.270847410527162,1,6.21603274345398
ETTm1,96,DenseFineTune,7,3,0.5571428571428572,32,1627232,0.0,0.4049657553151782,0.3441988740161619,0.3742306300651484,0.3459821349833301,0.3742512911027131,0.4049657856674011,0,0.3441994248557441,0.374230397741062,0.3459812812316638,0.3742512658701423,-0.0001600352656003,0.000246761777571,0,24.567474842071533
